MUNICIPALITY NAME,NAME OF PERSON ELECTED - LAST NAME,NAME OF PERSON ELECTED - FIRST NAME,"NAME OF
OFFICE",NUMBER OF VOTES CAST FOR THE CANDIDATE,NUMBER OF VOTES CAST FOR THE OFFICE,ELECTED or ACCLAIMED?,DID CANDIDATE SERVE ON 2010-2014 COUNCIL? (YES / NO)
Toronto C,GREB,CHRISTIN CARMICHAEL,LOCAL COUNCILLOR,"3,949",,ELECTED,NO
Toronto C,PALACIO,CESAR,LOCAL COUNCILLOR,"8,293",,ELECTED,NO
Toronto C,BAILAO,ANA,LOCAL COUNCILLOR,"8,797",,ELECTED,NO
Toronto C,LAYTON,MIKE,LOCAL COUNCILLOR,"21,014",,ELECTED,YES
Toronto C,CRESSY,JOE,LOCAL COUNCILLOR,"12,466",,ELECTED,NO
Toronto C,MIHEVC,JOE,LOCAL COUNCILLOR,"15,745",,ELECTED,YES
Toronto C,MATLOW,JOSH,LOCAL COUNCILLOR,"24,347",,ELECTED,YES
Toronto C,FILION,JOHN,LOCAL COUNCILLOR,"14,128",,ELECTED,YES
Toronto C,SHINER,DAVID,LOCAL COUNCILLOR,"10,716",,ELECTED,YES
Toronto C,ROBINSON,JAYE,LOCAL COUNCILLOR,"19,066",,ELECTED,NO
Toronto C,BURNSIDE,JON,LOCAL COUNCILLOR,"9,415",,ELECTED,NO
Toronto C,WONG-TAM,KRISTYN,LOCAL COUNCILLOR,"19,682",,ELECTED,NO
Toronto C,MCCONNELL,PAM,LOCAL COUNCILLOR,"14,047",,ELECTED,YES
Toronto C,FRAGEDAKIS,MARY,LOCAL COUNCILLOR,"11,904",,ELECTED,YES
Toronto C,FLETCHER,PAULA,LOCAL COUNCILLOR,"11,924",,ELECTED,YES
Toronto C,DAVIS,JANET,LOCAL COUNCILLOR,"12,697",,ELECTED,NO
Toronto C,MCMAHON,MARY-MARGARET,LOCAL COUNCILLOR,"15,762",,ELECTED,YES
Toronto C,CARROLL,SHELLEY,LOCAL COUNCILLOR,"9,747",,ELECTED,YES
Toronto C,MINNAN-WONG,DENZIL,LOCAL COUNCILLOR,"11,761",,ELECTED,YES
Toronto C,BERARDINETTI,MICHELLE,LOCAL COUNCILLOR,"11,919",,ELECTED,YES
Toronto C,CRAWFORD,GARY,LOCAL COUNCILLOR,"10,833",,ELECTED,NO
Toronto C,THOMPSON,MICHAEL,LOCAL COUNCILLOR,"16,315",,ELECTED,NO
Toronto C,DE BAEREMAEKER,GLENN,LOCAL COUNCILLOR,"13,626",,ELECTED,YES
Toronto C,KARYGIANNIS,JIM,LOCAL COUNCILLOR,"9,438",,ELECTED,NO
Toronto C,KELLY,NORM,LOCAL COUNCILLOR,"16,052",,ELECTED,YES
Toronto C,LEE,CHIN,LOCAL COUNCILLOR,"10,019",,ELECTED,NO
Toronto C,CHO,RAYMOND,LOCAL COUNCILLOR,"11,768",,ELECTED,NO
Toronto C,AINSLIE,PAUL,LOCAL COUNCILLOR,"12,358",,ELECTED,YES
Toronto C,MOESER,RON,LOCAL COUNCILLOR,"6,416",,ELECTED,NO
Uxbridge Tp,O'CONNOR,GERRI LYNN,MAYOR,"3,976","7,997",ELECTED,YES
Uxbridge Tp,BALLINGER,JACK,LOCAL AND REGIONAL COUNCILLOR,"4,056","7,710",ELECTED,YES
Uxbridge Tp,BEACH,PAMELA,LOCAL COUNCILLOR,531,"1,192",ELECTED,NO
Uxbridge Tp,MOLLOY,PATRICK,LOCAL COUNCILLOR,625,"1,130",ELECTED,YES
Uxbridge Tp,MIKUSE,PAT,LOCAL COUNCILLOR,581,"1,081",ELECTED,YES
Uxbridge Tp,BRYAN,FRED,LOCAL COUNCILLOR,919,"2,380",ELECTED,NO
Uxbridge Tp,HIGHET,GORDON,LOCAL COUNCILLOR,"1,255","2,082",ELECTED,YES
Vaughan C,BEVILACQUA,MAURIZIO,MAYOR,"43,904","56,018",ELECTED,YES
Vaughan C,DI BIASE,MICHAEL,LOCAL AND REGIONAL COUNCILLOR,"29,296","134,279",ELECTED,YES
Vaughan C,FERRI,MARIO,LOCAL AND REGIONAL COUNCILLOR,"27,647","134,279",ELECTED,NO
Vaughan C,ROSATI,GINO,LOCAL AND REGIONAL COUNCILLOR,"26,283","134,279",ELECTED,YES
Vaughan C,IAFRATE,MARILYN,LOCAL COUNCILLOR,"5,466","12,962",ELECTED,YES
Vaughan C,CARELLA,TONY,LOCAL COUNCILLOR,"4,964","11,984",ELECTED,YES
Vaughan C,DEFRANCESCA,ROSANNA,LOCAL COUNCILLOR,"6,385","11,325",ELECTED,YES
Vaughan C,YEUNG RACCO,SANDRA,LOCAL COUNCILLOR,"3,162","5,967",ELECTED,YES
Vaughan C,SHEFMAN,ALAN,LOCAL COUNCILLOR,"7,142","13,483",ELECTED,YES
Wainfleet Tp,JEFFS,APRIL,MAYOR,"1,407","3,042",ELECTED,YES
Wainfleet Tp,DYKSTRA,RICHARD,LOCAL COUNCILLOR,"1,310","10,417",ELECTED,YES
Wainfleet Tp,GILMORE,TERRY,LOCAL COUNCILLOR,"1,230","10,417",ELECTED,NO
Wainfleet Tp,HESSELS,TED,LOCAL COUNCILLOR,"1,376","10,417",ELECTED,YES
Wainfleet Tp,KONC,BETTY,LOCAL COUNCILLOR,"1,126","10,417",ELECTED,YES
Wasaga Beach T,SMITH,BRIAN,MAYOR,"5,311","9,430",ELECTED,NO
Wasaga Beach T,BIFOLCHI,NINA,DEPUTY MAYOR,"4,987",,ELECTED,YES
Wasaga Beach T,SMITH,BONNIE,LOCAL COUNCILLOR,"5,394",,ELECTED,NO
Wasaga Beach T,BRAY,SYLVIA,LOCAL COUNCILLOR,"4,798",,ELECTED,NO
Wasaga Beach T,EGO,RON,LOCAL COUNCILLOR,"3,620",,ELECTED,NO
Wasaga Beach T,ANDERSON,RON,LOCAL COUNCILLOR,"3,608",,ELECTED,YES
Wasaga Beach T,STOCKWELL,BILL,LOCAL COUNCILLOR,"3,272",,ELECTED,NO
Welland C,CAMPION,FRANK,MAYOR,"8,043","13,430",ELECTED,YES
Welland C,CARL,MARK,LOCAL COUNCILLOR,"1,458","4,002",ELECTED,YES
Welland C,GRIMALDI,MARY ANN,LOCAL COUNCILLOR,"1,108","4,002",ELECTED,YES
Welland C,MCLEOD,DAVID,LOCAL COUNCILLOR,919,"4,507",ELECTED,YES
Welland C,VAN VLIET,LEO,LOCAL COUNCILLOR,"1,030","4,507",ELECTED,NO
Welland C,MASTROIANNI,JOHN,LOCAL COUNCILLOR,"1,085","4,393",ELECTED,NO
Welland C,CHIOCCHIO,JOHN,LOCAL COUNCILLOR,652,"4,393",ELECTED,NO
Welland C,CHIOCCHIO,PAT,LOCAL COUNCILLOR,"1,383","3,883",ELECTED,YES
Welland C,DIMARCO,TONY,LOCAL COUNCILLOR,"1,190","3,883",ELECTED,YES
Welland C,LETOURNEAU,ROCKY,LOCAL COUNCILLOR,"1,243","3,665",ELECTED,YES
Welland C,PETRACHENKO,MICHAEL,LOCAL COUNCILLOR,"1,020","3,665",ELECTED,YES
Welland C,FOKKENS,BONNIE,LOCAL COUNCILLOR,883,"3,952",ELECTED,NO
Welland C,LAROUCHE,JIM,LOCAL COUNCILLOR,888,"3,952",ELECTED,YES
West Lincoln Tp,JOYNER,DOUGLAS,MAYOR,"1,570","4,155",ELECTED,YES
West Lincoln Tp,REHNER,MIKE,LOCAL COUNCILLOR,464,"1,456",ELECTED,NO
West Lincoln Tp,TROMBETTA,JASON,LOCAL COUNCILLOR,282,"1,456",ELECTED,NO
West Lincoln Tp,BYLSMA,DAVE,LOCAL COUNCILLOR,664,"2,107",ELECTED,NO
West Lincoln Tp,CHECHALK,JOANN,LOCAL COUNCILLOR,729,"2,107",ELECTED,YES
West Lincoln Tp,BELL,TERRY,LOCAL COUNCILLOR,"1,094","3,839",ELECTED,NO
West Lincoln Tp,MICALLEF,ALEX,LOCAL COUNCILLOR,"1,023","3,839",ELECTED,YES
Whitby T,MITCHELL,DON,MAYOR,"16,803","22,954",ELECTED,YES
Whitby T,ROY,ELIZABETH,LOCAL AND REGIONAL COUNCILLOR,"14,044","52,082",ELECTED,YES
Whitby T,COE,LORNE EARLE,LOCAL AND REGIONAL COUNCILLOR,"13,341","52,082",ELECTED,YES
Whitby T,DRUMM,JOE,LOCAL AND REGIONAL COUNCILLOR,"11,437","52,082",ELECTED,YES
Whitby T,GLEED,DERRICK,LOCAL COUNCILLOR,"2,464","4,551",ELECTED,YES
Whitby T,LEAHY,CHRIS,LOCAL COUNCILLOR,"2,043","6,154",ELECTED,NO
Whitby T,EMM,MICHAEL GERALD,LOCAL COUNCILLOR,"1,468","4,622",ELECTED,YES
Whitby T,YAMADA,STEVE,LOCAL COUNCILLOR,"3,393","7,231",ELECTED,NO
Whitchurch - Stouffville T,ALTMANN,JUSTIN,MAYOR,"4,363","13,085",ELECTED,NO
Whitchurch - Stouffville T,FERDINANDS,KEN,LOCAL COUNCILLOR,495,788,ELECTED,YES
Whitchurch - Stouffville T,MAURICE,SMITH,LOCAL COUNCILLOR,"1,884","2,545",ELECTED,NO
Whitchurch - Stouffville T,KROON,HUGO T. ,LOCAL COUNCILLOR,438,815,ELECTED,NO
Whitchurch - Stouffville T,UPTON,RICK,LOCAL COUNCILLOR,879,"2,493",ELECTED,NO
Whitchurch - Stouffville T,LOVATT,IAIN,LOCAL COUNCILLOR,"1,142","2,459",ELECTED,NO
Whitchurch - Stouffville T,HARGRAVE,ROB,LOCAL COUNCILLOR,"1,457","3,860",ELECTED,YES
York R,HACKSON,VIRGINIA,LOCAL AND REGIONAL COUNCILLOR,,,,YES
York R,SCARPITTI,FRANK,LOCAL AND REGIONAL COUNCILLOR,,,,YES
York R,ARMSTRONG,NIRMALA,LOCAL AND REGIONAL COUNCILLOR,,,,NO
York R,HEATH,JACK,LOCAL AND REGIONAL COUNCILLOR,,,,YES
York R,JONES,JIM,LOCAL AND REGIONAL COUNCILLOR,,,,YES
York R,LI,JOE,LOCAL AND REGIONAL COUNCILLOR,,,,YES
York R,BEVILACQUA,MAURIZIO,LOCAL AND REGIONAL COUNCILLOR,,,,YES
York R,DI BIASE,MICHAEL,LOCAL AND REGIONAL COUNCILLOR,,,,YES
York R,FERRI,MARIO,LOCAL AND REGIONAL COUNCILLOR,,,,NO
York R,ROSATI,GINO,LOCAL AND REGIONAL COUNCILLOR,,,,YES
York R,DAWE,GEOFF,LOCAL AND REGIONAL COUNCILLOR,,,,YES
York R,VAN BYNEN,TONY,LOCAL AND REGIONAL COUNCILLOR,,,,YES
York R,TAYLOR,JOHN,LOCAL AND REGIONAL COUNCILLOR,,,,YES
York R,BARROW,DAVE,LOCAL AND REGIONAL COUNCILLOR,,,,YES
York R,SPATAFORA,VITO,LOCAL AND REGIONAL COUNCILLOR,,,,YES
York R,HOGG,BRENDA,LOCAL AND REGIONAL COUNCILLOR,,,,YES
York R,ALTMANN,JUSTIN,LOCAL AND REGIONAL COUNCILLOR,,,,NO
York R,QUIRK,MARGARET,LOCAL AND REGIONAL COUNCILLOR,,,,NO
York R,WHEELER,DANNY,LOCAL AND REGIONAL COUNCILLOR,,,,YES
York R,PELLEGRINI,STEVE,LOCAL AND REGIONAL COUNCILLOR,,,,YES
Addington Highlands Tp,HOGG,HENRY,REEVE,923,"1,286",ELECTED,YES
Addington Highlands Tp,FRITSCH,TONY,LOCAL COUNCILLOR,377,"1,247",ELECTED,YES
Addington Highlands Tp,THOMPSON,B. KIRBY,LOCAL COUNCILLOR,321,"1,247",ELECTED,NO
Addington Highlands Tp,YANCH,E. HELEN,LOCAL COUNCILLOR,,,ACCLAIMED,YES
Addington Highlands Tp,COX,BILL,LOCAL COUNCILLOR,,,ACCLAIMED,YES
Admaston-Bromley Tp,DONOHUE,MICHAEL,MAYOR,565,"1,167",ELECTED,YES
Admaston-Bromley Tp,DICK,ROBERT,LOCAL COUNCILLOR,878,"1,167",ELECTED,YES
Admaston-Bromley Tp,HALL,ROBERT,LOCAL COUNCILLOR,841,"1,167",ELECTED,NO
Admaston-Bromley Tp,QUILTY,MICHAEL,LOCAL COUNCILLOR,824,"1,167",ELECTED,NO
Admaston-Bromley Tp,LEGRIS,KEVIN,LOCAL COUNCILLOR,626,"1,167",ELECTED,NO
Alfred and Plantagenet Tp,DICAIRE,FERNAND,MAYOR,"1,716","3,842",ELECTED,NO
Alfred and Plantagenet Tp,BEAULNE,RENE,LOCAL COUNCILLOR,668,"1,517",ELECTED,YES
Alfred and Plantagenet Tp,CADIEUX,JEAN-PIERRE,LOCAL COUNCILLOR,438,"1,517",ELECTED,NO
Alfred and Plantagenet Tp,DELORME,JEAN-CLAUDE,LOCAL COUNCILLOR,936,"2,793",ELECTED,YES
Alfred and Plantagenet Tp,DOUCET,JEANNE,LOCAL COUNCILLOR,756,"2,793",ELECTED,NO
Alfred and Plantagenet Tp,GALIPEAU,CHANTAL,LOCAL COUNCILLOR,262,462,ELECTED,NO
Alfred and Plantagenet Tp,LAMARCHE,BENOIT,LOCAL COUNCILLOR,286,634,ELECTED,YES
Algonquin Highlands Tp,MOFFATT,CAROL,REEVE, -   , -   ,ACCLAIMED,YES
Algonquin Highlands Tp,LYNCH,BRIAN,LOCAL COUNCILLOR,262,490,ELECTED,NO
Algonquin Highlands Tp,BARRY,LISA,LOCAL COUNCILLOR, -   , -   ,ACCLAIMED,YES
Algonquin Highlands Tp,DANIELSEN,ELIZABETH,LOCAL COUNCILLOR, -   , -   ,ACCLAIMED,YES
Algonquin Highlands Tp,KYLE,MARLENE,LOCAL COUNCILLOR,375,731,ELECTED,YES
Alnwick-Haldimand Tp,LOGEL,JOHN,MAYOR,"1,455","2,479",ELECTED,YES
Alnwick-Haldimand Tp,LATCHFORD,GAIL,DEPUTY MAYOR,"1,240","2,424",ELECTED,YES
Alnwick-Haldimand Tp,BENNS,RAYMOND,LOCAL COUNCILLOR,"1,118","3,072",ELECTED,YES
Alnwick-Haldimand Tp,MURRAY,BERNADETTE,LOCAL COUNCILLOR,998,"3,072",ELECTED,NO
Alnwick-Haldimand Tp,GIBSON,SHERRY,LOCAL COUNCILLOR,367,651,ELECTED,NO
Arnprior T,REID,DAVID ,MAYOR, -   , -   ,ACCLAIMED,YES
Arnprior T,STACK,WALTER,REEVE (NOT HEAD OF COUNCIL), -   , -   ,ACCLAIMED,YES
Arnprior T,BURNETTE,TOM,LOCAL COUNCILLOR,"1,890","11,347",ELECTED,NO
Arnprior T,DUGAL,FRANK,LOCAL COUNCILLOR,"1,189","11,347",ELECTED,NO
Arnprior T,GRINSTEAD,LYNN,LOCAL COUNCILLOR,"1,398","11,347",ELECTED,YES
Arnprior T,LYNCH,DAN,LOCAL COUNCILLOR,"1,573","11,347",ELECTED,YES
Arnprior T,STRIKE,TED,LOCAL COUNCILLOR,"1,664","11,347",ELECTED,YES
Asphodel-Norwood Tp,LOW,TERRY,MAYOR,992,"1,890",ELECTED,NO
Asphodel-Norwood Tp,BONNEAU,RODGER,DEPUTY MAYOR,"1,308","1,867",ELECTED,NO
Asphodel-Norwood Tp,VANDERHORST,BERNADETTE,LOCAL COUNCILLOR,"1,380","5,053",ELECTED,NO
Asphodel-Norwood Tp,MILLETT,ROY,LOCAL COUNCILLOR,784,"5,053",ELECTED,YES
Asphodel-Norwood Tp,LYNCH,DEBBIE,LOCAL COUNCILLOR,615,"5,053",ELECTED,NO
Athens Tp,SCOTT,HERB,MAYOR, -   , -   ,ACCLAIMED,YES
Athens Tp,ALGUIRE,DARIN,LOCAL COUNCILLOR,471,706,ELECTED,YES
Athens Tp,COUTLEE,LESLIE,LOCAL COUNCILLOR,439,706,ELECTED,YES
Athens Tp,FERGUSON,RHONDA,LOCAL COUNCILLOR,451,706,ELECTED,NO
Athens Tp,KEARNEY,GREG,LOCAL COUNCILLOR,468,706,ELECTED,YES
Athens Tp,LAYNG,ROB,LOCAL COUNCILLOR,547,706,ELECTED,YES
Athens Tp,SHEFFIELD,GARY,LOCAL COUNCILLOR,438,706,ELECTED,YES
Augusta Tp,MALANKA,DOUG,REEVE,"1,358","2,409",ELECTED,YES
Augusta Tp,ELLIOT,GEORGE,DEPUTY REEVE,,,ACCLAIMED,NO
Augusta Tp,BUCKLER,WILLIAM,LOCAL COUNCILLOR,"1,568","6,097",ELECTED,NO
Augusta Tp,CONKLIN,DON,LOCAL COUNCILLOR,"1,613","6,097",ELECTED,NO
Augusta Tp,WYNANDS,ADRIAN,LOCAL COUNCILLOR,"1,614","6,097",ELECTED,NO
Bancroft T,JENKINS,BERNICE,MAYOR,"1,043","1,848",ELECTED,YES
Bancroft T,JENKINS,PAUL,LOCAL COUNCILLOR,553,"2,738",ELECTED,YES
Bancroft T,KAVANAGH,MARY,LOCAL COUNCILLOR,585,"2,738",ELECTED,NO
Bancroft T,KILPATRICK,BILL,LOCAL COUNCILLOR,433,"1,990",ELECTED,NO
Bancroft T,MCGIBBON,BARRY,LOCAL COUNCILLOR,417,"1,990",ELECTED,NO
Bancroft T,MCGIBBON,TRACY,LOCAL COUNCILLOR,671,"2,738",ELECTED,NO
Bancroft T,MULLETT,CHARLES,LOCAL COUNCILLOR,380,"1,990",ELECTED,YES
Beckwith Tp,KIDD,RICHARD,REEVE,,,ACCLAIMED,YES
Beckwith Tp,MOUSSEAU,SHARON,DEPUTY REEVE,"1,177","1,674",ELECTED,YES
Beckwith Tp,CAMPBELL,C. FAYE,LOCAL COUNCILLOR,"1,018","4,323",ELECTED,YES
Beckwith Tp,CAMPBELL,TIM,LOCAL COUNCILLOR,835,"4,323",ELECTED,YES
Beckwith Tp,DOWDALL,BRIAN,LOCAL COUNCILLOR,"1,230","4,323",ELECTED,YES
Belleville C,CHRISTOPHER,TASO,MAYOR,"3,914","15,067",ELECTED,YES
Belleville C,MILLER,JACK,LOCAL COUNCILLOR,"8,775",,ELECTED,YES
Belleville C,THOMPSON,GARNET,LOCAL COUNCILLOR,"7,259",,ELECTED,YES
Belleville C,GRAHAM,MIKE,LOCAL COUNCILLOR,"5,555",,ELECTED,NO
Belleville C,BOYCE,EGERTON,LOCAL COUNCILLOR,"5,492",,ELECTED,YES
Belleville C,PANCIUK,MITCH,LOCAL COUNCILLOR,"4,508",,ELECTED,NO
Belleville C,MCCAW,KELLY,LOCAL COUNCILLOR,"3,067",,ELECTED,NO
Belleville C,DENYES,JACKIE,LOCAL COUNCILLOR,"1,662",,ELECTED,YES
Belleville C,CARR,PAUL,LOCAL COUNCILLOR,"1,088",,ELECTED,YES
Bonnechere Valley Tp,MURPHY,JENNIFER,MAYOR,"1,827","2,152",ELECTED,YES
Bonnechere Valley Tp,AGNEW,JACKIE,LOCAL COUNCILLOR,297,558,ELECTED,NO
Bonnechere Valley Tp,JAMIESON,MEREDITH,LOCAL COUNCILLOR,448,774,ELECTED,NO
Bonnechere Valley Tp,PELTZER,BOB,LOCAL COUNCILLOR,,,ACCLAIMED,YES
Bonnechere Valley Tp,BUCKWALD,MERVIN,LOCAL COUNCILLOR,208,338,ELECTED,YES
Brighton M,WALAS,MARK,MAYOR,"3,143","5,372",ELECTED,YES
Brighton M,BAKER,STEVEN,LOCAL COUNCILLOR,"2,064","25,596",ELECTED,NO
Brighton M,MARTINELLO,JOHN,LOCAL COUNCILLOR,"2,513","25,596",ELECTED,YES
Brighton M,MCMURRAY,ROGER,LOCAL COUNCILLOR,"2,194","25,596",ELECTED,NO
Brighton M,OSTRANDER,BRIAN,LOCAL COUNCILLOR,"2,497","25,596",ELECTED,NO
Brighton M,TADMAN,MARY,LOCAL COUNCILLOR,"3,191","25,596",ELECTED,YES
Brighton M,VINK,LAURA,LOCAL COUNCILLOR,"2,247","25,596",ELECTED,NO
Brockville C,HENDERSON,DAVID,MAYOR,"2,826","7,422",ELECTED,YES
Brockville C,BAKER,JASON W.,LOCAL COUNCILLOR,"4,172","46,619",ELECTED,YES
Brockville C,BLANCHARD,TOM,LOCAL COUNCILLOR,"3,201","46,619",ELECTED,YES
Brockville C,BURSEY,LEIGH Z.,LOCAL COUNCILLOR,"3,509","46,619",ELECTED,YES
Brockville C,DEERY,PHILIP,LOCAL COUNCILLOR,"2,616","46,619",ELECTED,NO
Brockville C,EARLE,JEFF,LOCAL COUNCILLOR,"3,936","46,619",ELECTED,YES
Brockville C,FULLARTON,JANE,LOCAL COUNCILLOR,"4,453","46,619",ELECTED,YES
Brockville C,KALIVAS,MIKE,LOCAL COUNCILLOR,"4,842","46,619",ELECTED,YES
Brockville C,LESUEUR,DAVID,LOCAL COUNCILLOR,"3,338","46,619",ELECTED,YES
"Brudenell, Lyndoch and Raglan Tp",GRUNTZ,GARRY,REEVE,618,"1,252",ELECTED,YES
"Brudenell, Lyndoch and Raglan Tp",KAUFFELDT,IRIS,LOCAL COUNCILLOR,296,"1,252",ELECTED,NO
"Brudenell, Lyndoch and Raglan Tp", RUTLEDGE,JOHN,LOCAL COUNCILLOR,287,"1,252",ELECTED,NO
"Brudenell, Lyndoch and Raglan Tp",BANKS,WAYNE,LOCAL COUNCILLOR,301,"1,086",ELECTED,NO
"Brudenell, Lyndoch and Raglan Tp",KELLER,SHELDON,LOCAL COUNCILLOR,428,"1,086",ELECTED,NO
Carleton Place T,ANTONAKOS,LOUIS,MAYOR,"1,903","3,544",ELECTED,YES
Carleton Place T,FLYNN,JERRY,DEPUTY MAYOR,"2,156","3,467",ELECTED,YES
Carleton Place T,BLACK,DOUG,LOCAL COUNCILLOR,"1,699","14,938",ELECTED,YES
Carleton Place T,DOUCETTE,BRIAN,LOCAL COUNCILLOR,"1,641","14,938",ELECTED,NO
Carleton Place T,REDMOND,SEAN,LOCAL COUNCILLOR,"1,440","14,938",ELECTED,NO
Carleton Place T,FRITZ,THERESA,LOCAL COUNCILLOR,"1,436","14,938",ELECTED,NO
Carleton Place T,TRIMBLE,ROSS,LOCAL COUNCILLOR,"1,387","14,938",ELECTED,NO
Carlow-Mayo Tp,ADAMS,BONNIE,REEVE,413,771,ELECTED,YES
Carlow-Mayo Tp,HUGHEY,DAN,LOCAL COUNCILLOR,242,707,ELECTED,NO
Carlow-Mayo Tp,SPENCE,TERRY,LOCAL COUNCILLOR,208,707,ELECTED,YES
Carlow-Mayo Tp,DILLABOUGH,RICHARD,LOCAL COUNCILLOR,192,695,ELECTED,NO
Carlow-Mayo Tp,STEWART,ELDON,LOCAL COUNCILLOR,287,695,ELECTED,YES
Casselman V,LAMADELEINE,CONRAD,MAYOR,922,"2,026",ELECTED,NO
Casselman V,DESJARDINS,MICHEL,LOCAL COUNCILLOR,"1,206","2,026",ELECTED,YES
Casselman V,CHARRON,ANIK,LOCAL COUNCILLOR,"1,137","2,026",ELECTED,NO
Casselman V,CLEROUX,MARCEL,LOCAL COUNCILLOR,"1,110","2,026",ELECTED,YES
Casselman V,RENAUD,DENIS,LOCAL COUNCILLOR,"1,089","2,026",ELECTED,NO
Cavan Monaghan Tp,MCFADDEN,SCOTT,MAYOR,"2,273","3,477",ELECTED,YES
Cavan Monaghan Tp,FALLIS,JOHN,DEPUTY MAYOR,"2,165","3,407",ELECTED,YES
Cavan Monaghan Tp,LANDRY,JORDAN,LOCAL COUNCILLOR,766,"2,247",ELECTED,NO
Cavan Monaghan Tp,HUNTLEY,RYAN,LOCAL COUNCILLOR,396,677,ELECTED,NO
Cavan Monaghan Tp,BELCH,TIM,LOCAL COUNCILLOR,,,ACCLAIMED,YES
Central Frontenac Tp,SMITH,FRANCES,MAYOR,"1,996","3,100",ELECTED,YES
Central Frontenac Tp,DEWEY,TOM,LOCAL COUNCILLOR,386,"1,355",ELECTED,YES
Central Frontenac Tp,KELSEY,CINDY,LOCAL COUNCILLOR,375,"1,355",ELECTED,NO
Central Frontenac Tp,RIDDELL,JAMIE,LOCAL COUNCILLOR,309,"1,169",ELECTED,NO
Central Frontenac Tp,HEESE,VICTOR,LOCAL COUNCILLOR,291,"1,169",ELECTED,NO
Central Frontenac Tp,MACDONALD,BILL,LOCAL COUNCILLOR,508,"1,596",ELECTED,NO
Central Frontenac Tp,WHAN,SHERRY,LOCAL COUNCILLOR,388,"1,596",ELECTED,NO
Central Frontenac Tp,PHILLIP,SMITH,LOCAL COUNCILLOR,349,"1,531",ELECTED,YES
Central Frontenac Tp,BRENT,CAMERON,LOCAL COUNCILLOR,334,"1,531",ELECTED,NO
Centre Hastings M,DELINE,TOM,MAYOR,"1,445","2,402",ELECTED,NO
Centre Hastings M,KRAMP-NEUMAN,SHELBY,DEPUTY MAYOR,"1,428","2,382",ELECTED,YES
Centre Hastings M,HADLEY,BOB,LOCAL COUNCILLOR,"1,359",,ELECTED,YES
Centre Hastings M,SANDFORD,ERIC,LOCAL COUNCILLOR,"1,389",,ELECTED,NO
Centre Hastings M,MIKE,KERBY,LOCAL COUNCILLOR,"1,519",,ELECTED,YES
Champlain Tp,BARTON,GARY J.,MAYOR,,,ACCLAIMED,YES
Champlain Tp,CARKNER,TROY,LOCAL COUNCILLOR,,,ACCLAIMED,YES
Champlain Tp,DUVAL,PAUL EMIL,LOCAL COUNCILLOR,,,ACCLAIMED,YES
Champlain Tp,LACELLE,JACQUES,LOCAL COUNCILLOR,530,"1,215",ELECTED,YES
Champlain Tp,SÉGUIN,MARC,LOCAL COUNCILLOR,376,"1,215",ELECTED,NO
Champlain Tp,MACLEOD,HELEN,LOCAL COUNCILLOR,,,ACCLAIMED,YES
Champlain Tp,RIOPEL,NORMAND,LOCAL COUNCILLOR,,,ACCLAIMED,YES
Champlain Tp,MINER,"GÉRARD ""GERRY""",LOCAL COUNCILLOR,665,"1,908",ELECTED,YES
Champlain Tp,PERREAULT,PIERRE,LOCAL COUNCILLOR,486,"1,908",ELECTED,YES
Clarence-Rockland C,DESJARDINS,GUY,MAYOR,"5,617","7,915",ELECTED,YES
Clarence-Rockland C,LALONDE,JEAN-MARC,LOCAL COUNCILLOR,965,,ELECTED,NO
Clarence-Rockland C,ZANTH,MARIO,LOCAL COUNCILLOR,574,,ELECTED,NO
Clarence-Rockland C,GRIMARD,CARL,LOCAL COUNCILLOR,935,,ELECTED,NO
Clarence-Rockland C,SIMONEAU,YVON,LOCAL COUNCILLOR,714,,ELECTED,NO
Clarence-Rockland C,LALONDE,ANDRÉ J.,LOCAL COUNCILLOR,515,,ELECTED,NO
Clarence-Rockland C,SIMARD,KRYSTA,LOCAL COUNCILLOR,359,,ELECTED,NO
Clarence-Rockland C,LEVERT,MICHEL,LOCAL COUNCILLOR,382,,ELECTED,NO
Clarence-Rockland C,CHOINIÈRE,DIANE,LOCAL COUNCILLOR,471,,ELECTED,YES
Cobourg T,BROCANIER,GIL,MAYOR,"4,028","7,704",ELECTED,YES
Cobourg T,HENDERSON,JOHN,DEPUTY MAYOR,"3,199","7,661",ELECTED,YES
Cobourg T,DARLING,BRIAN,LOCAL COUNCILLOR,"4,739","31,539",ELECTED,NO
Cobourg T,RICKERBY,TERESA,LOCAL COUNCILLOR,"4,660","31,539",ELECTED,NO
Cobourg T,ROWDEN,FORREST,LOCAL COUNCILLOR,"3,869","31,539",ELECTED,YES
Cobourg T,MCCARTHY,DEBRA,LOCAL COUNCILLOR,"3,850","31,539",ELECTED,NO
Cobourg T,SHERWIN,LARRY,LOCAL COUNCILLOR,"3,822","31,539",ELECTED,YES
Cornwall C,CLÉMENT,BERNADETTE,LOCAL COUNCILLOR,"6,900",,ELECTED,YES
Cornwall C,MCINTOSH,CLAUDE E.,LOCAL COUNCILLOR,"4,884",,ELECTED,NO
Cornwall C,MACDONALD,ELAINE,LOCAL COUNCILLOR,"4,819",,ELECTED,YES
Cornwall C,TOWNDALE,JUSTIN,LOCAL COUNCILLOR,"4,481",,ELECTED,NO
Cornwall C,DUPELLE,MAURICE,LOCAL COUNCILLOR,"4,455",,ELECTED,YES
